,insurance,shock deal,gift min price,flash sale promo soon,cheap tag,price,price min,price max,raw discount,price before discount,price before discount min,price before discount max
0,Bảo hiểm Thời trang,,-1.0,0,,215000.0,215000.0,215000.0,24.0,281429.0,281429.0,281429.0
1,Bảo hiểm Thời trang,,-1.0,1,Gì Cũng Rẻ,126600.0,126600.0,149000.0,49.0,250000.0,250000.0,250000.0
2,Bảo hiểm Thời trang,Mua để nhận quà,50000.0,0,Gì Cũng Rẻ,138000.0,138000.0,138000.0,30.0,198000.0,198000.0,249000.0
3,Bảo hiểm Thời trang,,-1.0,0,,136000.0,136000.0,136000.0,43.0,237000.0,237000.0,237000.0
4,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,145000.0,145000.0,145000.0,44.0,260000.0,260000.0,260000.0
5,Bảo hiểm Thời trang,,-1.0,0,,170000.0,170000.0,210000.0,31.0,245412.0,245412.0,295794.0
6,Bảo hiểm Thời trang,,-1.0,0,,241970.0,241970.0,241970.0,0.0,-1.0,-1.0,-1.0
7,Bảo hiểm Thời trang,,-1.0,0,,88000.0,88000.0,110000.0,45.0,160000.0,160000.0,200000.0
8,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,139000.0,139000.0,139000.0,26.0,189000.0,189000.0,189000.0
9,Bảo hiểm Thời trang,Mua để nhận quà,300000.0,0,Gì Cũng Rẻ,148000.0,148000.0,219000.0,56.0,335500.0,335500.0,496800.0
10,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,99000.0,99000.0,99000.0,60.0,250000.0,250000.0,250000.0
11,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,152000.0,152000.0,152000.0,46.0,280000.0,280000.0,280000.0
12,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,145000.0,145000.0,145000.0,44.0,260000.0,260000.0,260000.0
13,Bảo hiểm Thời trang,Mua Kèm Deal Sốc,-1.0,0,Gì Cũng Rẻ,145000.0,145000.0,145000.0,23.0,189000.0,189000.0,189000.0
14,Bảo hiểm Thời trang,,-1.0,0,,179139.0,179139.0,196226.0,29.0,252308.0,252308.0,276374.0
15,Bảo hiểm Thời trang,Mua để nhận quà,90000.0,0,Gì Cũng Rẻ,252000.0,252000.0,252000.0,40.0,420000.0,420000.0,420000.0
16,Bảo hiểm Thời trang,Mua Kèm Deal Sốc,-1.0,0,Gì Cũng Rẻ,139000.0,139000.0,139000.0,31.0,201000.0,201000.0,201000.0
17,Bảo hiểm Thời trang,Mua Kèm Deal Sốc,-1.0,0,Gì Cũng Rẻ,137000.0,137000.0,137000.0,31.0,199000.0,199000.0,245000.0
18,Bảo hiểm Thời trang,,-1.0,0,,239000.0,239000.0,239000.0,25.0,320000.0,320000.0,320000.0
19,Bảo hiểm Thời trang,Mua Kèm Deal Sốc,-1.0,0,Gì Cũng Rẻ,112000.0,112000.0,112000.0,38.0,180000.0,180000.0,180000.0
20,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,99000.0,99000.0,99000.0,60.0,249000.0,249000.0,249000.0
21,Bảo hiểm Thời trang,Mua để nhận quà,100000.0,0,,269000.0,269000.0,299000.0,24.0,356000.0,356000.0,356000.0
22,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,119000.0,119000.0,119000.0,52.0,250000.0,250000.0,250000.0
23,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,250000.0,250000.0,250000.0,16.0,299000.0,299000.0,299000.0
24,Bảo hiểm Thời trang,Mua để nhận quà,100000.0,1,Gì Cũng Rẻ,171000.0,171000.0,178450.0,20.0,215000.0,215000.0,215000.0
25,Bảo hiểm Thời trang,,-1.0,0,,89000.0,89000.0,89000.0,50.0,178000.0,178000.0,178000.0
26,Bảo hiểm Thời trang,,-1.0,0,,112000.0,112000.0,167000.0,28.0,112000.0,112000.0,232000.0
27,Bảo hiểm Thời trang,,-1.0,0,,259000.0,259000.0,259000.0,26.0,350000.0,350000.0,350000.0
28,Bảo hiểm Thời trang,,-1.0,0,,95000.0,95000.0,95000.0,47.0,178000.0,178000.0,178000.0
29,Bảo hiểm Thời trang,,-1.0,1,Gì Cũng Rẻ,161000.0,161000.0,189000.0,40.0,270000.0,270000.0,280000.0
30,Bảo hiểm Thời trang,,-1.0,0,,129000.0,129000.0,129000.0,36.0,200000.0,200000.0,200000.0
31,Bảo hiểm Thời trang,,-1.0,0,,147000.0,147000.0,147000.0,48.0,280000.0,280000.0,280000.0
32,Bảo hiểm Thời trang,,-1.0,0,,119999.0,119999.0,119999.0,20.0,150000.0,150000.0,150000.0
33,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,145000.0,145000.0,280000.0,48.0,280000.0,280000.0,280000.0
34,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,145000.0,145000.0,145000.0,28.0,200000.0,200000.0,200000.0
35,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,124000.0,124000.0,280000.0,56.0,280000.0,280000.0,280000.0
36,Bảo hiểm Thời trang,,-1.0,0,,198000.0,198000.0,198000.0,0.0,-1.0,-1.0,-1.0
37,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,95000.0,95000.0,95000.0,47.0,178200.0,178200.0,178200.0
38,Bảo hiểm Thời trang,,-1.0,0,,152000.0,152000.0,152000.0,48.0,290000.0,290000.0,290000.0
39,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,65000.0,65000.0,65000.0,28.0,90000.0,90000.0,90000.0
40,Bảo hiểm Thời trang,,-1.0,0,,76000.0,76000.0,76000.0,47.0,142200.0,142200.0,142200.0
41,,,-1.0,0,Gì Cũng Rẻ,249000.0,249000.0,289000.0,49.0,490000.0,490000.0,490000.0
42,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,120000.0,120000.0,120000.0,52.0,250000.0,250000.0,250000.0
43,Bảo hiểm Thời trang,,-1.0,0,,142000.0,142000.0,142000.0,47.0,270000.0,270000.0,270000.0
44,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,199000.0,199000.0,199000.0,47.0,378000.0,378000.0,378000.0
45,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,149000.0,149000.0,149000.0,34.0,225000.0,225000.0,225000.0
46,Bảo hiểm Thời trang,Mua Kèm Deal Sốc,-1.0,0,Gì Cũng Rẻ,75000.0,75000.0,75000.0,42.0,129000.0,129000.0,129000.0
47,Bảo hiểm Thời trang,,-1.0,0,Gì Cũng Rẻ,145000.0,145000.0,145000.0,28.0,200000.0,200000.0,200000.0
